ID;SEASON;TRIAL;A_x;A_y;B_x;B_y;C_x;C_y;D_x;D_y;FOOD_x;FOOD_y;cmxpixel
20200804-2;winter;1;62.00543;73.2629;117.22064;15.72472;172.61454;72.90552;118.11409;127.22728;141.34379;26.8035;0.17869
20200804-2;winter;2;62.89888;73.44159;118.47147;16.43948;173.15061;72.19076;118.47147;127.04859;140.80772;27.51826;0.17869
20200804-2;winter;3;61.82674;72.90552;117.39933;16.97555;172.25716;72.72683;118.65016;127.58466;140.27165;27.51826;0.17869
20200804-2;winter;4;62.36281;73.2629;118.47147;16.43948;172.79323;72.19076;118.29278;126.69121;140.09296;26.98219;0.17869
20200804-2;winter;5;62.5415;73.2629;117.57802;17.69031;172.61454;72.36945;118.29278;127.76335;140.62903;27.87564;0.17869
20200804-2;winter;6;62.36281;72.36945;118.29278;16.26079;172.97192;72.36945;118.29278;127.40597;140.62903;26.98219;0.17869
20200804-2;winter;7;62.18412;73.08421;117.75671;16.61817;172.43585;72.19076;118.29278;126.69121;139.91427;26.08874;0.17869
20200804-2;winter;8;62.00543;72.90552;117.75671;17.51162;172.61454;72.19076;118.29278;127.58466;139.91427;28.23302;0.17869
20200804-2;winter;9;62.36281;72.90552;118.29278;15.90341;172.97192;72.01207;118.29278;126.69121;140.45034;27.33957;0.17869
20200804-2;winter;10;62.00543;73.44159;117.75671;16.43948;172.97192;71.83338;118.65016;126.8699;140.09296;26.98219;0.17869
20200625-3;winter;1;50.39058;74.69242;104.17627;18.22638;160.46362;72.90552;106.32055;128.47811;129.01418;26.62481;0.17869
20200625-3;winter;2;51.46272;74.87111;106.14186;17.51162;161.35707;72.01207;106.67793;127.94204;129.19287;26.98219;0.17869
20200625-3;winter;3;50.21189;74.51373;104.53365;17.51162;160.64231;72.36945;106.32055;127.40597;128.47811;26.62481;0.17869
20200625-3;winter;4;50.56927;74.87111;104.89103;17.51162;160.821;72.36945;106.67793;127.40597;127.94204;26.62481;0.17869
20200625-3;winter;5;50.56927;74.87111;103.99758;18.58376;160.64231;72.19076;106.85662;128.29942;126.8699;26.62481;0.17869
20200625-3;winter;6;50.74796;75.40718;105.96317;16.97555;162.07183;71.83338;106.67793;128.47811;128.47811;27.51826;0.17869
20200625-3;winter;7;50.74796;75.40718;105.24841;16.43948;161.71445;72.19076;106.67793;128.47811;128.29942;27.69695;0.17869
20200625-3;winter;8;49.67582;75.0498;104.89103;17.869;161.35707;72.72683;106.49924;129.37156;128.29942;28.05433;0.17869
20200625-3;winter;9;50.74796;75.22849;104.35496;16.79686;161.89314;72.54814;106.49924;128.12073;128.6568;28.05433;0.17869
20200625-3;winter;10;55.92997;68.97434;111.68125;13.40175;165.64563;69.33172;110.7878;123.2961;135.08964;25.0166;0.17869
20201031-1;winter;1;49.85451;74.87111;104.35496;19.29852;159.74886;75.40718;104.89103;129.19287;128.47811;29.84123;0.17869
20201031-1;winter;2;50.56927;75.58587;105.24841;19.83459;160.28493;75.0498;105.06972;129.37156;127.76335;31.27075;0.17869
20201031-1;winter;3;49.67582;74.69242;104.35496;20.01328;159.39148;75.0498;104.89103;129.19287;129.01418;30.91337;0.17869
20201031-1;winter;4;49.85451;74.15635;105.60579;19.47721;159.74886;75.22849;104.89103;128.83549;128.47811;30.19861;0.17869
20201031-1;winter;5;50.39058;75.22849;106.49924;19.83459;160.28493;75.0498;105.06972;129.37156;130.80108;31.98551;0.17869
20201031-1;winter;6;50.56927;75.0498;105.78448;20.01328;160.28493;75.22849;105.06972;129.72894;127.76335;31.27075;0.17869
20201031-1;winter;7;66.83006;77.55146;114.00422;29.12647;161.53576;76.12194;115.25505;123.47479;135.44702;36.09538;0.17869
20201031-1;winter;8;49.49713;74.69242;103.28282;20.01328;159.57017;75.40718;104.17627;129.55025;125.97645;30.91337;0.17869
20201031-1;winter;9;49.31844;74.51373;104.53365;18.94114;159.57017;75.22849;104.35496;128.6568;126.33383;31.80682;0.17869
20201031-1;winter;10;50.21189;75.22849;105.24841;20.01328;160.46362;75.94325;104.53365;129.37156;128.6568;31.44944;0.17869
20201101-1;winter;1;76.67806;90.770244;132.010606;33.779794;187.135914;88.905102;132.63232;144.03041;156.46469;43.934456;0.207238
20201101-1;winter;2;77.71425;89.941292;133.046796;33.572556;187.964866;88.905102;132.839558;144.03041;156.671928;44.970646;0.207238
20201101-1;winter;3;77.092536;89.734054;131.59613;33.779794;186.928676;88.697864;132.217844;142.579744;157.50088;43.934456;0.207238
20201101-1;winter;4;77.299774;90.14853;133.461272;33.15808;187.964866;88.697864;133.046796;143.408696;156.671928;43.51998;0.207238
20201101-1;winter;5;78.128726;89.734054;132.010606;33.779794;188.379342;88.697864;133.66851;143.408696;156.050214;44.55617;0.207238
20201101-1;winter;6;78.128726;89.941292;133.461272;33.365318;188.379342;88.697864;133.254034;143.408696;157.915356;45.59236;0.207238
