ID,season,door,x,y,food_x,food_y
20201031-1,spring ,A,52.165134,69.968934,127.653246,26.349624
20201031-1,spring ,B,102.37185,13.174812,127.653246,26.349624
20201031-1,spring ,C,162.726732,67.65444,127.653246,26.349624
20201031-1,spring ,D,108.781218,123.380334,127.653246,26.349624
20201101-1,spring ,A,52.165134,69.968934,132.104196,23.501016
20201101-1,spring ,B,102.37185,13.174812,132.104196,23.501016
20201101-1,spring ,C,162.726732,67.65444,132.104196,23.501016
20201101-1,spring ,D,108.781218,123.380334,132.104196,23.501016
20201101-3,spring ,A,52.165134,69.968934,132.104196,23.501016
20201101-3,spring ,B,102.37185,13.174812,132.104196,23.501016
20201101-3,spring ,C,162.726732,67.65444,132.104196,23.501016
20201101-3,spring ,D,108.781218,123.380334,132.104196,23.501016
20201103-1,spring ,A,52.165134,69.968934,132.104196,23.501016
20201103-1,spring ,B,102.37185,13.174812,132.104196,23.501016
20201103-1,spring ,C,162.726732,67.65444,132.104196,23.501016
20201103-1,spring ,D,108.781218,123.380334,132.104196,23.501016
20201103-4,spring ,A,52.165134,69.968934,132.104196,23.501016
20201103-4,spring ,B,102.37185,13.174812,132.104196,23.501016
20201103-4,spring ,C,162.726732,67.65444,132.104196,23.501016
20201103-4,spring ,D,108.781218,123.380334,132.104196,23.501016
20201103-5,spring ,A,52.165134,69.968934,132.104196,23.501016
20201103-5,spring ,B,102.37185,13.174812,132.104196,23.501016
20201103-5,spring ,C,162.726732,67.65444,132.104196,23.501016
20201103-5,spring ,D,108.781218,123.380334,132.104196,23.501016
20201106-1,spring ,A,52.165134,69.968934,132.104196,23.501016
20201106-1,spring ,B,102.37185,13.174812,132.104196,23.501016
20201106-1,spring ,C,162.726732,67.65444,132.104196,23.501016
20201106-1,spring ,D,108.781218,123.380334,132.104196,23.501016
20200623-1,summer ,A,159.385642,163.580001,134.712942,129.531675
20200623-1,summer ,B,119.909322,103.378613,134.712942,129.531675
20200623-1,summer ,C,180.604164,57.487391,134.712942,129.531675
20200623-1,summer ,D,226.742113,119.662595,134.712942,129.531675
20200625-3,summer ,A,177.396713,161.852912,149.269835,127.557859
20200625-3,summer ,B,134.712942,100.664616,149.269835,127.557859
20200625-3,summer ,C,197.3816,55.760302,149.269835,127.557859
20200625-3,summer ,D,241.052279,117.195325,149.269835,127.557859
20200625-4,summer ,A,159.138915,163.580001,135.206396,129.284948
20200625-4,summer ,B,120.156049,101.404797,135.206396,129.284948
20200625-4,summer ,C,182.824707,59.21448,135.206396,129.284948
20200625-4,summer ,D,227.235567,118.182233,135.206396,129.284948
20200625-6,summer ,A,161.112731,169.501449,135.206396,136.193304
20200625-6,summer ,B,120.156049,107.326245,135.206396,136.193304
20200625-6,summer ,C,182.824707,63.162112,135.206396,136.193304
20200625-6,summer ,D,227.235567,125.584043,135.206396,136.193304
20200625-7,summer ,A,152.230559,157.411826,124.103681,124.103681
20200625-7,summer ,B,110.286969,94.496441,124.103681,124.103681
20200625-7,summer ,C,171.228538,51.81267,124.103681,124.103681
20200625-7,summer ,D,215.886125,113.000966,124.103681,124.103681
20200731-1,summer ,A,180.850891,164.813636,153.464194,131.012037
20200731-1,summer ,B,136.440031,102.885159,153.464194,131.012037
20200731-1,summer ,C,198.861962,58.474299,153.464194,131.012037
20200731-1,summer ,D,242.532641,121.389684,153.464194,131.012037
20200731-2,summer ,A,180.357437,164.073455,153.464194,131.012037
20200731-2,summer ,B,136.440031,102.885159,153.464194,131.012037
20200731-2,summer ,C,197.875054,58.474299,153.464194,131.012037
20200731-2,summer ,D,242.532641,118.922414,153.464194,131.012037
20200804-3,summer ,A,158.892188,166.540725,132.245672,134.219488
