ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel
20200804-2,winter,1,347,410,656,88,966,408,661,712,791,150,0.17869
20200804-2,winter,2,352,411,663,92,969,404,663,711,788,154,0.17869
20200804-2,winter,3,346,408,657,95,964,407,664,714,785,154,0.17869
20200804-2,winter,4,349,410,663,92,967,404,662,709,784,151,0.17869
20200804-2,winter,5,350,410,658,99,966,405,662,715,787,156,0.17869
20200804-2,winter,6,349,405,662,91,968,405,662,713,787,151,0.17869
20200804-2,winter,7,348,409,659,93,965,404,662,709,783,146,0.17869
20200804-2,winter,8,347,408,659,98,966,404,662,714,783,158,0.17869
20200804-2,winter,9,349,408,662,89,968,403,662,709,786,153,0.17869
20200804-2,winter,10,347,411,659,92,968,402,664,710,784,151,0.17869
20200625-3,winter,1,282,418,583,102,898,408,595,719,722,149,0.17869
20200625-3,winter,2,288,419,594,98,903,403,597,716,723,151,0.17869
20200625-3,winter,3,281,417,585,98,899,405,595,713,719,149,0.17869
20200625-3,winter,4,283,419,587,98,900,405,597,713,716,149,0.17869
20200625-3,winter,5,283,419,582,104,899,404,598,718,710,149,0.17869
20200625-3,winter,6,284,422,593,95,907,402,597,719,719,154,0.17869
20200625-3,winter,7,284,422,589,92,905,404,597,719,718,155,0.17869
20200625-3,winter,8,278,420,587,100,903,407,596,724,718,157,0.17869
20200625-3,winter,9,284,421,584,94,906,406,596,717,720,157,0.17869
20201031-1,winter,1,279,419,584,108,894,422,587,723,719,167,0.17869
20201031-1,winter,2,283,423,589,111,897,420,588,724,715,175,0.17869
20201031-1,winter,3,278,418,584,112,892,420,587,723,722,173,0.17869
20201031-1,winter,4,279,415,591,109,894,421,587,721,719,169,0.17869
20201031-1,winter,5,282,421,596,111,897,420,588,724,732,179,0.17869
20201031-1,winter,6,283,420,592,112,897,421,588,726,715,175,0.17869
20201031-1,winter,7,374,434,638,163,904,426,645,691,758,202,0.17869
20201031-1,winter,8,277,418,578,112,893,422,583,725,705,173,0.17869
20201031-1,winter,9,276,417,585,106,893,421,584,720,707,178,0.17869
20201031-1,winter,10,281,421,589,112,898,425,585,724,720,176,0.17869
20201101-1,winter,1,370,438,637,163,903,429,640,695,755,212,0.207238
20201101-1,winter,2,375,434,642,162,907,429,641,695,756,217,0.207238
20201101-1,winter,3,372,433,635,163,902,428,638,688,760,212,0.207238
20201101-1,winter,4,373,435,644,160,907,428,642,692,756,210,0.207238
