ID,Trial,Season,time,frame,x,y,ANGLE,speed,acceleration
20201101-3,T8,spring,0.0,0.0,109.82627,123.80786,0.15655182,0.0,0.0
20201101-3,T8,spring,0.033333,1.0,109.87886,123.78928,0.0404646,1.6732371,50.197617
20201101-3,T8,spring,0.066666,2.0,109.855446,123.77018,0.043990187,0.9066955,68.40892
20201101-3,T8,spring,0.1,3.0,109.97832,123.77297,0.14897178,3.6870136,133.121
20201101-3,T8,spring,0.133333,4.0,109.96366,123.78452,0.13527898,0.55985796,124.026306
20201101-3,T8,spring,0.166666,5.0,109.95251,123.76873,0.121296726,0.5800884,24.809443
20201101-3,T8,spring,0.2,6.0,109.97341,123.75961,0.08753936,0.6842607,29.476078
20201101-3,T8,spring,0.233333,7.0,109.90085,123.69138,0.026937079,2.9880567,99.53402
20201101-3,T8,spring,0.266666,8.0,109.77873,123.50824,-0.113360636,6.603689,112.62909
20201101-3,T8,spring,0.3,9.0,109.633766,123.30602,-2.2061205,7.4641557,26.781422
20201101-3,T8,spring,0.333333,10.0,109.577774,123.235725,-2.3669324,2.696306,143.19894
20201101-3,T8,spring,0.366666,11.0,109.51608,123.18239,-2.0895543,2.4463654,16.110153
20201101-3,T8,spring,0.4,12.0,109.44378,123.14437,-2.0562882,2.4508092,16.772388
20201101-3,T8,spring,0.433333,13.0,109.24928,123.14039,-2.265843,5.836081,114.157074
20201101-3,T8,spring,0.466666,14.0,109.082184,123.12547,-2.34338,5.0328894,26.550518
20201101-3,T8,spring,0.5,15.0,109.07095,123.11027,-2.2648246,0.5670909,140.2758
20201101-3,T8,spring,0.533333,16.0,109.05176,123.114586,-2.196249,0.5902588,18.975227
20201101-3,T8,spring,0.566666,17.0,109.15092,123.102745,-2.1733193,2.995998,107.511215
20201101-3,T8,spring,0.6,18.0,109.44795,123.08708,-1.9610547,8.923251,178.11023
20201101-3,T8,spring,0.633333,19.0,109.769516,123.00525,-0.9367433,9.954465,63.5165
20201101-3,T8,spring,0.666666,20.0,109.89051,123.116135,-0.5659348,4.9236484,250.33916
20201101-3,T8,spring,0.7,21.0,110.03817,123.157265,-0.5409291,4.5983696,67.211174
20201101-3,T8,spring,0.733333,22.0,110.12455,123.203255,-0.4267351,2.93582,55.325314
20201101-3,T8,spring,0.766666,23.0,110.16545,123.2092,-0.31115016,1.2398694,54.54027
20201101-3,T8,spring,0.8,24.0,110.22469,123.27024,-0.43681386,2.551894,52.26271
20201101-3,T8,spring,0.833333,25.0,110.28111,123.24634,-0.26249424,1.8382618,76.49685
20201101-3,T8,spring,0.866666,26.0,110.38661,123.26094,-0.10467411,3.195131,56.146755
20201101-3,T8,spring,0.9,27.0,110.40298,123.279755,-0.08768311,0.7481466,80.30324
20201101-3,T8,spring,0.933333,28.0,110.42359,123.27504,-0.07492248,0.6343459,21.5141
20201101-3,T8,spring,0.966666,29.0,110.46421,123.3087,-0.060611874,1.5824705,38.943253
